Publisher Label,Publisher URI,RegistrationDate,Ethnicity,Nationality,Reason,Need,Age,DecisionDate,Decision,DecisionCode
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,28/02/2005 00:00:00,Black/BlkBrit: African,Not Rec,other,dependent children,35,01/04/2005 00:00:00,Not Homeless,4
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,31/03/2005 00:00:00,Asian/AsBrit: Pakistani,Not Rec,DV - partner,domestic violence/ threat,24,01/04/2005 00:00:00,"not elig, other",5
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,24/02/2005 00:00:00,White: British,Not Rec,eviction - friends,vulnerable-mental illness,35,01/04/2005 00:00:00,resettlement case,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,18/02/2005 00:00:00,Black/BlkBrit: African,Not Rec,end AST not arrears,dependent children,35,01/04/2005 00:00:00,Intentionally homeless,2
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,14/02/2005 00:00:00,White: British,Not Rec,eviction - parents,pregnant,18,04/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,17/02/2005 00:00:00,White: British,Not Rec,eviction - parents,pregnant,23,04/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,22/02/2005 00:00:00,White: British,Not Rec,eviction - parents,pregnant,18,04/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,01/03/2005 00:00:00,White: British,Not Rec,eviction - parents,pregnant,19,04/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,15/03/2005 00:00:00,Black/BlkBrit: African,Not Rec,eviction - friends,vulnerable - physical,25,04/04/2005 00:00:00,approved permanent rehous,1
London Borough of Hounslow,http://opendatacommunities.org/id/london-borough-council/hounslow,17/03/2005 00:00:00,Other,Not Rec,other harassment,dependent children,35,04/04/2005 00:00:00,Not Homeless,4
